account,Extreme Fear,Extreme Greed,Fear,Greed,Neutral,contrarian_score,total_pnl,style
0x083384f897ee0f19899168e3b1bec365f52a9012,0.0,0.0,1927735.720035,-327505.900056,0.0,2255241.620091,1600229.819979,Contrarian
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,0.0,0.0,17098.727055,20607.446093000002,0.0,-3508.719038000003,37706.173148,Neutral
0x271b280974205ca63b716753467d5a371de622ab,0.0,0.0,29970.928216,1793.1602149999999,-1.0,28177.768001,31764.088431,Neutral
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,0.0,0.0,10435.095669,121880.386016,0.0,-111445.290347,132315.481685,Momentum
0x2c229d22b100a7beb69122eed721cee9b24011dd,0.0,0.0,116412.254606,52215.729448,0.0,64196.525158000004,168627.984054,Neutral
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,-5564.01614,-59349.677108,36993.371011,215.754798,-96343.04811900001,-22356.306097,Momentum
0x39cef799f8b69da1995852eea189df24eb5cae3c,0.0,0.0,-20526.462526,34983.381862,0.0,-55509.844388,14456.919336000003,Momentum
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,0.0,0.0,45883.628955,7612.618288,0.0,38271.010667,53496.247243,Neutral
0x420ab45e0bd8863569a5efbb9c05d91f40624641,0.0,0.0,183403.024142,16102.56859,0.0,167300.455552,199505.59273200002,Contrarian
0x430f09841d65beb3f27765503d0f850b8bce7713,0.0,0.0,110527.905862,160450.518105,145563.448374,-49922.612242999996,270978.423967,Momentum
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,0.0,0.0,32683.214094,69282.42904,0.0,-36599.21494600001,101965.643134,Neutral
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,0.0,0.0,613327.827224,61076.167808,0.0,552251.659416,674403.995032,Contrarian
0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,-7919.471032000002,223968.37089299998,111230.498007,-25991.506339,112737.87288599998,335198.8689,Neutral
0x513b8629fe877bb581bf244e326a047b249c4ff1,0.0,0.0,403501.648209,0.0,0.0,403501.648209,403501.648209,Contrarian
0x6d6a4b953f202f8df5bed40692e7fd865318264a,0.0,0.0,6979.340871,101539.274031,0.0,-94559.93315999999,108518.614902,Momentum
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,0.0,0.0,98269.195073,327545.999992,0.0,-229276.80491900002,425815.195065,Momentum
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,0.0,0.0,341945.434741,51737.579418,0.0,290207.855323,393683.014159,Contrarian
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,0.0,187842.08419,136208.043913,37526.331877,0.16271999999999998,98681.71203600001,173734.37579,Neutral
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,0.0,0.0,14781.443047,0.0,0.0,14781.443047,14781.443047,Neutral
0x8170715b3b381dffb7062c0298972d4727a0a63b,0.0,0.0,196303.792847,0.0,0.0,196303.792847,196303.792847,Contrarian
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,0.0,0.0,64510.169958,11.717676000000012,0.0,64498.452282,64521.887634,Neutral
0x8477e447846c758f5a675856001ea72298fd9cb5,0.0,0.0,46257.358187,39978.37791,-9125.157325,6278.980276999995,86235.736097,Neutral
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,0.0,0.0,100502.420808,8695.357326,0.0,91807.063482,109197.778134,Neutral
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,0.0,0.0,40314.808014,49180.714882,0.0,-8865.906867999998,89495.52289600001,Neutral
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,0.0,0.0,19451.742477,67900.247545,-14505.50575,-48448.505068000006,87351.99002200001,Neutral
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,0.0,0.0,8751.751449,20925.513222,0.0,-12173.761773000002,29677.264671,Neutral
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,0.0,0.0,21703.816512999998,55.01524,0.0,21648.801272999997,21758.831753,Neutral
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,2606.8947559999997,553818.000465,1421911.349228,62586.1816,-868093.348763,1975729.349693,Momentum
0xb899e522b5715391ae1d4f137653e7906c5e2115,0.0,0.0,22488.500821,0.0,0.0,22488.500821,22488.500821,Neutral
0xbaaaf6571ab7d571043ff1e313a9609a10637864,0.0,0.0,940157.212682,0.0,0.0,940157.212682,940157.212682,Contrarian
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,0.0,0.0,325441.97721599997,11671.68,0.0,313770.297216,337113.65721599996,Contrarian
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,0.0,0.0,126967.976166,684215.002602,0.0,-557247.026436,811182.978768,Momentum
